current_step:50  loss: tensor(4.5847, device='cuda:0', grad_fn=<AddBackward0>)
current_step:100  loss: tensor(4.5766, device='cuda:0', grad_fn=<AddBackward0>)
current_step:150  loss: tensor(4.5750, device='cuda:0', grad_fn=<AddBackward0>)
current_step:200  loss: tensor(4.5716, device='cuda:0', grad_fn=<AddBackward0>)
current_step:250  loss: tensor(4.5699, device='cuda:0', grad_fn=<AddBackward0>)
current_step:300  loss: tensor(4.5666, device='cuda:0', grad_fn=<AddBackward0>)
current_step:350  loss: tensor(4.5665, device='cuda:0', grad_fn=<AddBackward0>)
current_step:400  loss: tensor(4.5634, device='cuda:0', grad_fn=<AddBackward0>)
current_step:450  loss: tensor(4.5619, device='cuda:0', grad_fn=<AddBackward0>)
current_step:550  loss: tensor(4.5604, device='cuda:0', grad_fn=<AddBackward0>)
current_step:600  loss: tensor(4.5583, device='cuda:0', grad_fn=<AddBackward0>)
current_step:650  loss: tensor(4.5565, device='cuda:0', grad_fn=<AddBackward0>)
current_step:700  loss: tensor(4.5549, device='cuda:0', grad_fn=<AddBackward0>)
current_step:750  loss: tensor(4.5541, device='cuda:0', grad_fn=<AddBackward0>)
current_step:800  loss: tensor(4.5532, device='cuda:0', grad_fn=<AddBackward0>)
current_step:850  loss: tensor(4.5520, device='cuda:0', grad_fn=<AddBackward0>)
current_step:900  loss: tensor(4.5512, device='cuda:0', grad_fn=<AddBackward0>)
current_step:950  loss: tensor(4.5504, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1000  loss: tensor(4.5488, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1050  loss: tensor(4.5479, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1150  loss: tensor(4.5472, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1200  loss: tensor(4.5441, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1300  loss: tensor(4.5436, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1400  loss: tensor(4.5413, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1500  loss: tensor(4.5405, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1550  loss: tensor(4.5400, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1650  loss: tensor(4.5393, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1700  loss: tensor(4.5378, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1800  loss: tensor(4.5376, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1850  loss: tensor(4.5341, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1950  loss: tensor(4.5339, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2100  loss: tensor(4.5335, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2250  loss: tensor(4.5324, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2300  loss: tensor(4.5306, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2350  loss: tensor(4.5304, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2450  loss: tensor(4.5292, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2600  loss: tensor(4.5286, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2700  loss: tensor(4.5278, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2750  loss: tensor(4.5266, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2850  loss: tensor(4.5254, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2950  loss: tensor(4.5238, device='cuda:0', grad_fn=<AddBackward0>)
current_step:3050  loss: tensor(4.5233, device='cuda:0', grad_fn=<AddBackward0>)
current_step:3150  loss: tensor(4.5226, device='cuda:0', grad_fn=<AddBackward0>)
current_step:3450  loss: tensor(4.5210, device='cuda:0', grad_fn=<AddBackward0>)
current_step:3600  loss: tensor(4.5205, device='cuda:0', grad_fn=<AddBackward0>)
current_step:3800  loss: tensor(4.5205, device='cuda:0', grad_fn=<AddBackward0>)
current_step:3850  loss: tensor(4.5197, device='cuda:0', grad_fn=<AddBackward0>)
current_step:3950  loss: tensor(4.5169, device='cuda:0', grad_fn=<AddBackward0>)
current_step:4150  loss: tensor(4.5159, device='cuda:0', grad_fn=<AddBackward0>)
current_step:4700  loss: tensor(4.5158, device='cuda:0', grad_fn=<AddBackward0>)
current_step:4750  loss: tensor(4.5157, device='cuda:0', grad_fn=<AddBackward0>)
current_step:4850  loss: tensor(4.5148, device='cuda:0', grad_fn=<AddBackward0>)
current_step:4900  loss: tensor(4.5142, device='cuda:0', grad_fn=<AddBackward0>)
current_step:5000  loss: tensor(4.5135, device='cuda:0', grad_fn=<AddBackward0>)
current_step:5250  loss: tensor(4.5110, device='cuda:0', grad_fn=<AddBackward0>)
current_step:5600  loss: tensor(4.5106, device='cuda:0', grad_fn=<AddBackward0>)
